Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.76541026,-73.96990387,Lenox Hill,"28 E 62nd St, New York, NY 10065, USA",10065
40.78639942,-73.97639892,Central Park West Historic District,"494 Amsterdam Ave, New York, NY 10024, USA",10024
40.72620161,-73.97960233,Alphabet City,"605 E 9th St, New York, NY 10009, USA",10009
40.7152014,-73.98770166,Lower East Side,"200 E Broadway, New York, NY 10002, USA",10002
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.73034066,-73.98628244,Ukrainian Village,"2nd Ave &, E 11th St, New York, NY 10003, USA",10003
40.77630104,-73.95290307,Yorkville,"86 St, 300-398 East 86th St, New York, NY 10028, USA",10028
40.71810113,-73.98249863,Lower East Side,"69 Pitt St, New York, NY 10002, USA",10002
40.76009665,-73.98674711,Theater District,"254 W 47th St, New York, NY 10036, USA",10036
40.71529765,-74.00880828,Tribeca,"Chambers St/West Broadway, New York, NY 10007, USA",10007
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.72934371,-74.00365853,South Village,"22 Bedford St, New York, NY 10014, USA",10014
40.73468826,-73.97920641,Stuyvesant Town-Peter Cooper Village,"East 20 St & 1 Avenue, New York, NY 10010, USA",10010
40.78160147,-73.95109997,Yorkville,"Ruppert Yorkville Towers Condominium, 1619 3rd Ave, New York, NY 10128, USA",10128
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
